"STATION","DATE","TMAX","TMIN"
"UPM00034300","2023-01-01","7.8","1.1"
"UPM00034300","2023-01-02","10.3","5.6"
"UPM00034300","2023-01-03","6.3","5.0"
"UPM00034300","2023-01-04","4.5",
"UPM00034300","2023-01-05",,"-1.3"
"UPM00034300","2023-01-06",,
"UPM00034300","2023-01-07","-10.8","-16.8"
"UPM00034300","2023-01-08","-8.7","-17.6"
"UPM00034300","2023-01-09","-6.1","-14.6"
"UPM00034300","2023-01-10","-6.7",
"UPM00034300","2023-01-11","-5.3","-14.0"
"UPM00034300","2023-01-12",,"-9.4"
"UPM00034300","2023-01-13","-1.6","-4.9"
"UPM00034300","2023-01-14","-2.0","-2.6"
"UPM00034300","2023-01-15","-2.6",
"UPM00034300","2023-01-16",,"-3.8"
"UPM00034300","2023-01-17","2.5",
"UPM00034300","2023-01-18",,"2.2"
"UPM00034300","2023-01-19","8.2","2.7"
"UPM00034300","2023-01-20","6.5",
"UPM00034300","2023-01-21","0.3","-2.8"
"UPM00034300","2023-01-22","-0.2","-1.7"
"UPM00034300","2023-01-23","4.1","-5.4"
"UPM00034300","2023-01-24","2.1","-6.6"
"UPM00034300","2023-01-25","2.5","-5.0"
"UPM00034300","2023-01-26","3.2","-9.3"
"UPM00034300","2023-01-27","2.2","-10.1"
"UPM00034300","2023-01-28","-1.3","-8.9"
"UPM00034300","2023-01-29","-2.3",
"UPM00034300","2023-01-30","-1.4","-7.8"
"UPM00034300","2023-01-31","0.9","-3.0"
"UPM00034300","2023-02-01","0.3","-1.8"
"UPM00034300","2023-02-02","1.3","-1.5"
"UPM00034300","2023-02-03","1.2","-0.1"
"UPM00034300","2023-02-04","-0.6",
"UPM00034300","2023-02-05","-1.6","-3.0"
"UPM00034300","2023-02-06","-1.9","-4.3"
"UPM00034300","2023-02-07","-3.3",
"UPM00034300","2023-02-08","-3.7","-11.4"
"UPM00034300","2023-02-09","-3.1","-14.1"
"UPM00034300","2023-02-10","0.8",
"UPM00034300","2023-02-11","-0.4","-7.6"
"UPM00034300","2023-02-12","-0.3",
"UPM00034300","2023-02-13",,"-8.1"
"UPM00034300","2023-02-14","3.1",
"UPM00034300","2023-02-15","0.0",
